Title,Authority,Year,Type,Link,Note
Amitriptyline,NCBI PubChem,,Syllabus drug — Tricyclic antidepressant,https://pubchem.ncbi.nlm.nih.gov/#query=Amitriptyline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Haloperidol,NCBI PubChem,,Syllabus drug — Antipsychotic,https://pubchem.ncbi.nlm.nih.gov/#query=Haloperidol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Chlorpromazine,NCBI PubChem,,Syllabus drug — Antipsychotic,https://pubchem.ncbi.nlm.nih.gov/#query=Chlorpromazine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Risperidone,NCBI PubChem,,Syllabus drug — Atypical antipsychotic,https://pubchem.ncbi.nlm.nih.gov/#query=Risperidone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Olanzapine,NCBI PubChem,,Syllabus drug — Atypical antipsychotic,https://pubchem.ncbi.nlm.nih.gov/#query=Olanzapine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cetirizine,NCBI PubChem,,Syllabus drug — Antihistamine,https://pubchem.ncbi.nlm.nih.gov/#query=Cetirizine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Loratadine,NCBI PubChem,,Syllabus drug — Antihistamine,https://pubchem.ncbi.nlm.nih.gov/#query=Loratadine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Chlorpheniramine,NCBI PubChem,,Syllabus drug — Antihistamine,https://pubchem.ncbi.nlm.nih.gov/#query=Chlorpheniramine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Diphenhydramine,NCBI PubChem,,Syllabus drug — Antihistamine,https://pubchem.ncbi.nlm.nih.gov/#query=Diphenhydramine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Montelukast,NCBI PubChem,,Syllabus drug — Leukotriene receptor antagonist,https://pubchem.ncbi.nlm.nih.gov/#query=Montelukast,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Theophylline,NCBI PubChem,,Syllabus drug — Methylxanthine bronchodilator,https://pubchem.ncbi.nlm.nih.gov/#query=Theophylline,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ferrous sulfate,NCBI PubChem,,Syllabus drug — Iron preparation,https://pubchem.ncbi.nlm.nih.gov/#query=Ferrous%20sulfate,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Folic acid,NCBI PubChem,,Syllabus drug — Vitamin B9,https://pubchem.ncbi.nlm.nih.gov/#query=Folic%20acid,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Cyanocobalamin,NCBI PubChem,,Syllabus drug — Vitamin B12,https://pubchem.ncbi.nlm.nih.gov/#query=Cyanocobalamin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Thiamine,NCBI PubChem,,Syllabus drug — Vitamin B1,https://pubchem.ncbi.nlm.nih.gov/#query=Thiamine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Pyridoxine,NCBI PubChem,,Syllabus drug — Vitamin B6,https://pubchem.ncbi.nlm.nih.gov/#query=Pyridoxine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ascorbic acid,NCBI PubChem,,Syllabus drug — Vitamin C,https://pubchem.ncbi.nlm.nih.gov/#query=Ascorbic%20acid,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Vitamin D3 (Cholecalciferol),NCBI PubChem,,Syllabus drug — Vitamin D,https://pubchem.ncbi.nlm.nih.gov/#query=Vitamin%20D3%20(Cholecalciferol),"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Calcium carbonate,NCBI PubChem,,Syllabus drug — Calcium supplement / antacid,https://pubchem.ncbi.nlm.nih.gov/#query=Calcium%20carbonate,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Aluminium hydroxide,NCBI PubChem,,Syllabus drug — Antacid,https://pubchem.ncbi.nlm.nih.gov/#query=Aluminium%20hydroxide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Magnesium hydroxide,NCBI PubChem,,Syllabus drug — Antacid,https://pubchem.ncbi.nlm.nih.gov/#query=Magnesium%20hydroxide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Potassium chloride,NCBI PubChem,,Syllabus drug — Electrolyte replacement,https://pubchem.ncbi.nlm.nih.gov/#query=Potassium%20chloride,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Mupirocin,NCBI PubChem,,Syllabus drug — Topical antibiotic,https://pubchem.ncbi.nlm.nih.gov/#query=Mupirocin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Silver sulfadiazine,NCBI PubChem,,Syllabus drug — Topical antimicrobial,https://pubchem.ncbi.nlm.nih.gov/#query=Silver%20sulfadiazine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Adapalene,NCBI PubChem,,Syllabus drug — Topical retinoid,https://pubchem.ncbi.nlm.nih.gov/#query=Adapalene,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Tretinoin,NCBI PubChem,,Syllabus drug — Topical retinoid,https://pubchem.ncbi.nlm.nih.gov/#query=Tretinoin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Hydroquinone,NCBI PubChem,,Syllabus drug — Depigmenting agent,https://pubchem.ncbi.nlm.nih.gov/#query=Hydroquinone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ketamine,NCBI PubChem,,Syllabus drug — General anesthetic,https://pubchem.ncbi.nlm.nih.gov/#query=Ketamine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Propofol,NCBI PubChem,,Syllabus drug — General anesthetic,https://pubchem.ncbi.nlm.nih.gov/#query=Propofol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Thiopentone,NCBI PubChem,,Syllabus drug — Barbiturate anesthetic,https://pubchem.ncbi.nlm.nih.gov/#query=Thiopentone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Sevoflurane,NCBI PubChem,,Syllabus drug — Inhalational anesthetic,https://pubchem.ncbi.nlm.nih.gov/#query=Sevoflurane,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Halothane,NCBI PubChem,,Syllabus drug — Inhalational anesthetic,https://pubchem.ncbi.nlm.nih.gov/#query=Halothane,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Succinylcholine,NCBI PubChem,,Syllabus drug — Neuromuscular blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Succinylcholine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Vecuronium,NCBI PubChem,,Syllabus drug — Neuromuscular blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Vecuronium,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Rocuronium,NCBI PubChem,,Syllabus drug — Neuromuscular blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Rocuronium,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Oxytocin,NCBI PubChem,,Syllabus drug — Uterotonic hormone,https://pubchem.ncbi.nlm.nih.gov/#query=Oxytocin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Misoprostol,NCBI PubChem,,Syllabus drug — Prostaglandin analogue,https://pubchem.ncbi.nlm.nih.gov/#query=Misoprostol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Mifepristone,NCBI PubChem,,Syllabus drug — Progesterone antagonist,https://pubchem.ncbi.nlm.nih.gov/#query=Mifepristone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ethinylestradiol,NCBI PubChem,,Syllabus drug — Estrogen component,https://pubchem.ncbi.nlm.nih.gov/#query=Ethinylestradiol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Levonorgestrel,NCBI PubChem,,Syllabus drug — Progestin,https://pubchem.ncbi.nlm.nih.gov/#query=Levonorgestrel,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Progesterone,NCBI PubChem,,Syllabus drug — Progestogen,https://pubchem.ncbi.nlm.nih.gov/#query=Progesterone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Testosterone,NCBI PubChem,,Syllabus drug — Androgen,https://pubchem.ncbi.nlm.nih.gov/#query=Testosterone,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Sildenafil,NCBI PubChem,,Syllabus drug — PDE5 inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Sildenafil,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Finasteride,NCBI PubChem,,Syllabus drug — 5-alpha reductase inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Finasteride,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Tamsulosin,NCBI PubChem,,Syllabus drug — ?1A blocker,https://pubchem.ncbi.nlm.nih.gov/#query=Tamsulosin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Allopurinol,NCBI PubChem,,Syllabus drug — Xanthine oxidase inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Allopurinol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Colchicine,NCBI PubChem,,Syllabus drug — Antigout drug,https://pubchem.ncbi.nlm.nih.gov/#query=Colchicine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ursodeoxycholic acid,NCBI PubChem,,Syllabus drug — Bile acid,https://pubchem.ncbi.nlm.nih.gov/#query=Ursodeoxycholic%20acid,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Acetazolamide,NCBI PubChem,,Syllabus drug — Carbonic anhydrase inhibitor,https://pubchem.ncbi.nlm.nih.gov/#query=Acetazolamide,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Timolol,NCBI PubChem,,Syllabus drug — ? blocker / antiglaucoma,https://pubchem.ncbi.nlm.nih.gov/#query=Timolol,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Travoprost,NCBI PubChem,,Syllabus drug — Prostaglandin analogue / antiglaucoma,https://pubchem.ncbi.nlm.nih.gov/#query=Travoprost,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Brimonidine,NCBI PubChem,,Syllabus drug — ?2 agonist / antiglaucoma,https://pubchem.ncbi.nlm.nih.gov/#query=Brimonidine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Ranitidine,NCBI PubChem,,Syllabus drug — H2 blocker (historical syllabus reference),https://pubchem.ncbi.nlm.nih.gov/#query=Ranitidine,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
Rifampin,NCBI PubChem,,Syllabus drug — Antitubercular,https://pubchem.ncbi.nlm.nih.gov/#query=Rifampin,"Use for B.Pharm pharmacology/medicinal chemistry revision: mechanism, class, structure/functional groups, therapeutic uses, adverse effects, interactions and important exam points."
